url:	https://africanstorybook.org/reader.php?id=29500&d=0&a=1
id:	29500
title:	Olunaku lwa Kanusu olw'omukisa
author:	Juliet Namugaya
artist:	Rob Owen
lang:	Lusoga
level:	First sentences
lic:	Creative Commons: Attribution 4.0
thumb:	https://africanstorybook.org/illustrations/covers/29500.png
desc:	Kanusu abona omulenzi mukatalenga ayambailre esaati eyakilagala enhungi. Kanusu anasobola okudwadwamiriza ise okumugulira esaati nga eyo?

page_text:

P1	Kanusu yetaaga indhifomu empyaaka.Lataaghe amutwaala mukatale.
P2	Kanusu yabona omulenzi nga ayambaire esaati enhungi.''Eyo saati nhungi inho,''Kanusu yadhuuba.
P3	''Bbaabba,singa nhinha esaati nga ey'omulenzi oyo.''Kanusu yakoba.
P4	''Bona,amasaati amalungi gaago,''Kanusu bwakoba.''Bbaabba nkweghembye ngulirayoku ndhala.''
P5	''Kanusu,nteekwa okukugulira indhifomu,''bbaabba bwakoba.
P6	''Nzira mpiiya dhimala kukugulira saati eyo,''bbabba bwakoba.
P7	Lata gha Kanusu yagula indhifomu.Yeghuunhia inho bwebamwiikiza empiiya edhisigalagho.Empiiya edhisigalagho dhimala okugula esaati.
P8	Luno lunaku lwa Kanusu olw'omukisa.Oba analondha saati ki?

images:

illustrations/pages/7976.png
illustrations/pages/7966.png
illustrations/pages/7967.png
illustrations/pages/7968.png
illustrations/pages/7969.png
illustrations/pages/7972.png
illustrations/pages/7973.png
illustrations/pages/7975.png
illustrations/pages/7976.png

translations:

Afrikaans (Translation)	Hamisi se gelukkige dag	id=20058
Akuapem Twi (Translation)	Da a Hamisi Tiri Yɛɛ Yiye	id=18460
Asante Twi (Translation)	Ɛda a Hamisi Ti Yɛɛ Yie	id=18220
ChiTonga (Translation)	Buzuba Bwacoolwe Bwa Hamisi	id=18637
CiNyanja (Translation)	Siku La Mwayi La Hamisi	id=18625
Dagaare (Translation)	Hamisi Zunoɔ Bebiri	id=17772
Dagbani/Dagbanli (Translation)	Hamisi Zuɣ’Suŋ Dabsili	id=18151
Dangme (Translation)	Hamisi Manye Ligbi	id=18298
English (Translation)	Hamisi's lucky day	id=11990
Ewe (Translation)	Hamisi Ƒe Dzɔgbenyuie Ŋkeke	id=18182
Fante (Translation)	Hamisi Ne Tsir Nkwa Da	id=18490
French (Translation)	Le Jour De Chance D’Hamisi !	id=13157
Ga (Translation)	Gbi Ni Moi Heba Nii	id=18292
Gonja (Translation)	Hamisi Be Kumu Lɛla Achɛ	id=18213
IciBemba (Translation)	Ubushiku Hamisi Ashuukile	id=18582
isiNdebele (Translation)	Isikipa esihlaza sakaDumi	id=13807
isiNdebele (Translation)	Ilanga lakaSizwe letjhudu	id=21928
isiXhosa (Translation)	Imini Yethamsanqa Likahamisi	id=16476
isiXhosa (Translation)	Imini kaHamisi yamathamsanqa	id=17525
isiZulu (Translation)	Usuku lukaHamisi lwenhlanhla	id=16358
Kasem (Translation)	Hamisi  Yuu-Ywoŋo Dɛ	id=18226
Kinyarwanda (Translation)	Umunsi W'amahirwe Kuri Mugabo	id=17462
Kiswahili (Original)	Hamisi abahatika	id=8040
Mampruli (Translation)	Hamisi Zugsuŋŋu Dabsiri	id=18849
Ng’aturkana (Translation)	Ekeny Ka Hamisi	id=12951
Nzema (Translation)	Hamisi Kenle Kpalɛ	id=18425
Portuguese (Translation)	Dia De Sorte Do Hamisi	id=16564
Sepedi (Translation)	Letšatši la Kagiso la mahlatse	id=19008
Sesotho (South Africa) (Translation)	Letsatsi la Tshepo la lehlohonolo	id=20028
Setswana (Translation)	Letsatsi la ga Hamisi la Letlhogonolo	id=16594
Setswana (Translation)	Letsatsi La Ga Kagiso La Letlhogonolo	id=17646
SiLozi (Translation)	Lizazi La Litohonolo La Hamisi	id=18564
Siswati (Translation)	Umfaniswano wesikolo	id=13872
Siswati (Translation)	Lusuku lwaHamisi lwenhlanhla	id=21523
Talen (Translation)	Hamisi Dab Somer Daar	id=20195
Tshivenda (Translation)	Ḓuvha Ḽa Mashudu Ḽa Hamisi	id=18284
Xitsonga (Translation)	Siku Ra Hamisi Ra Nkateko	id=18878
